source,target
6,17
6,33
6,36
6,61
6,113
6,125
6,174
6,190
6,210
6,225
6,251
6,264
6,269
6,288
16,5
16,24
16,50
16,87
16,88
16,102
16,112
16,118
16,137
16,178
16,222
16,224
16,233
16,236
16,242
16,276
16,280
16,286
16,298
26,13
26,20
26,21
26,25
26,31
26,39
26,57
26,75
26,83
26,84
26,95
26,100
26,107
26,133
26,146
26,151
26,160
26,172
26,199
26,201
26,212
26,229
26,253
26,256
26,262
26,282
33,45
33,53
33,55
33,62
33,63
33,65
33,67
33,96
33,105
33,116
33,130
33,132
33,134
33,135
33,136
33,139
33,147
33,157
33,167
33,183
33,184
33,193
33,206
33,220
33,239
33,241
33,252
33,257
33,267
33,270
33,272
33,281
33,295
60,35
60,68
60,85
60,93
60,94
60,124
60,162
60,179
60,186
60,260
70,9
70,72
70,78
70,82
70,86
70,91
70,101
70,125
70,140
70,142
70,149
70,165
70,226
70,259
70,265
70,278
84,42
84,51
84,94
84,114
84,144
84,180
84,187
84,211
84,213
84,235
84,238
84,250
84,290
84,293
87,37
94,46
94,54
94,58
94,106
94,127
94,164
94,191
94,195
94,200
94,207
94,223
94,228
94,247
125,56
125,182
125,254
141,15
141,70
141,173
141,203
141,217
141,273
153,7
153,8
153,27
153,29
153,34
153,38
153,40
153,49
153,52
153,60
153,66
153,71
153,90
153,98
153,103
153,104
153,110
153,121
153,122
153,138
153,150
153,154
153,159
153,168
153,181
153,185
153,188
153,189
153,194
153,198
153,202
153,204
153,230
153,255
153,268
153,289
153,291
153,294
153,296
153,297
174,156
174,208
174,227
174,248
174,266
174,283
227,28
227,32
227,69
227,76
227,79
227,143
227,166
227,177
227,215
227,219
227,237
227,243
248,1
248,3
248,11
248,18
248,30
248,41
248,43
248,44
248,59
248,74
248,161
248,175
248,205
248,240
248,275
258,0
258,2
258,22
258,64
258,81
258,92
258,109
258,117
258,119
258,120
258,123
258,126
258,152
258,174
258,209
258,216
258,218
258,234
258,245
258,249
258,271
258,279
269,16
269,99
269,145
269,163
269,170
269,231
269,232
269,246
269,277
273,4
273,14
273,19
273,115
273,155
273,158
273,196
273,197
273,261
273,263
273,274
273,287
284,10
284,111
284,169
284,285
284,294
284,299
294,48
294,77
294,89
294,129
294,171
294,176
294,221
294,244
294,292
299,12
299,23
299,47
299,73
299,80
299,97
299,108
299,128
299,131
299,148
299,192
299,214
299,227
