source,target
3,16
3,48
3,97
3,98
4,23
4,43
10,1
10,12
10,15
10,20
10,26
10,29
10,36
10,41
10,45
10,50
10,63
10,76
10,84
10,86
10,88
10,89
10,90
10,95
16,38
16,44
16,54
16,64
16,66
16,92
23,8
23,37
28,2
28,39
28,47
28,62
28,73
28,99
31,13
31,42
34,67
34,80
37,55
39,11
39,33
39,49
39,57
39,60
39,63
39,68
39,69
39,74
39,91
42,6
42,35
42,43
42,56
42,93
43,9
43,21
43,25
43,32
43,87
43,96
48,0
48,24
48,40
48,46
48,52
48,55
48,61
48,65
48,70
52,19
52,58
52,77
52,81
54,5
54,75
63,7
63,22
63,83
80,18
80,88
80,97
88,14
88,17
88,27
88,30
88,51
88,59
88,72
88,85
88,94
97,53
97,71
97,78
97,79
97,82
