source,target
18,2
18,7
18,8
18,17
18,26
18,30
18,34
18,57
20,22
20,86
23,88
32,0
32,3
32,4
32,5
32,12
32,28
32,29
32,38
32,41
32,45
32,46
32,49
32,51
32,59
32,62
32,69
32,73
32,74
32,90
32,96
32,98
35,13
35,16
35,19
35,31
35,36
35,43
35,44
35,54
35,56
35,61
35,65
35,67
35,70
35,71
35,76
35,81
35,85
35,97
38,1
38,10
38,18
38,53
38,92
40,11
40,14
40,25
40,58
40,89
46,60
46,72
46,79
63,68
63,93
66,23
66,40
66,80
66,83
66,87
71,6
71,18
77,48
77,63
77,82
88,9
88,15
88,37
88,39
88,47
88,55
88,64
88,75
88,95
88,99
96,20
96,21
96,24
96,27
96,33
96,42
96,50
96,52
96,77
96,78
96,84
96,88
96,91
96,94
